Letter,Weight,Normalized Weight,Mass Center,Normalized Mass Center,Inertia Moments,Normalized Inertia Moments
а,1693,0.6961348684210527,"(25.59007678676905, 17.691671588895453)","(0.3903186791550643, 0.4511262591593366)","(130.1863477318265, 2052.8446234085036)","(2.201092541670045e-05, 0.00034707948018479343)"
б,1809,0.6729910714285714,"(28.255942509673854, 20.548922056384743)","(0.4326340080900612, 0.47680297698499374)","(162.41100131673795, 1802.094018574898)","(2.2477961093165663e-05, 0.00024941290249639296)"
в,1568,0.6805555555555556,"(25.228316326530614, 16.930484693877553)","(0.38457644962747006, 0.45515670553935866)","(95.48580181434816, 2122.4002405410506)","(1.7987626028997758e-05, 0.00039981799477302655)"
г,1574,0.7233455882352942,"(26.17725540025413, 15.984116899618806)","(0.3996389746072084, 0.4540641484732972)","(46.549843873361446, 2210.49326370871)","(9.8310622637499e-06, 0.00046684360463679434)"
д,1601,0.6583059210526315,"(27.773891317926296, 16.86633354153654)","(0.42498240187184594, 0.42881982544693353)","(85.12108141343579, 2128.3151809007563)","(1.4391630205645496e-05, 0.00035983947261918194)"
е,1723,0.7084703947368421,"(26.2460824143935, 18.251305861868833)","(0.4007314668951349, 0.4662515097802387)","(115.64674343801677, 2002.445627068015)","(1.955267882421888e-05, 0.00033855839814466907)"
ё,1633,0.6714638157894737,"(26.61788120024495, 17.885486834047764)","(0.40663303492452296, 0.45636450902831793)","(107.78839077222727, 2035.3192982008773)","(1.8224047846866897e-05, 0.0003441164304275094)"
ж,2408,0.7350427350427351,"(26.267857142857142, 25.80066445182724)","(0.4075460829493088, 0.48628753827112237)","(611.6788903061225, 1310.3918941292036)","(5.699486202109642e-05, 0.0001220993668133288)"
з,1487,0.72607421875,"(26.453261600537996, 14.369872225958305)","(0.404020025405365, 0.4312862008373647)","(20.672830073142308, 2364.8893273196218)","(4.928786772046639e-06, 0.0005638335531519942)"
и,1888,0.7564102564102564,"(26.661016949152543, 18.701800847457626)","(0.4073177293516277, 0.4658368644067796)","(128.5725366274059, 1962.330448158306)","(2.063759332679176e-05, 0.0003149800013608803)"
й,1759,0.7047275641025641,"(27.293348493462194, 18.259806708357022)","(0.4173547379914634, 0.45420543969360583)","(114.63238648244828, 2001.6848957735756)","(1.840001478045133e-05, 0.0003212969109186197)"
к,1705,0.7517636684303352,"(26.695601173020528, 17.82815249266862)","(0.41444518021000853, 0.4808043569333892)","(68.96303987753804, 1951.1521122109373)","(1.3406959467808004e-05, 0.0003793193764426888)"
л,1946,0.76015625,"(27.700411099691674, 19.046248715313464)","(0.42381604920145516, 0.4627243260336786)","(127.68070931597111, 1931.932251996083)","(1.9482530108027818e-05, 0.00029478946716248827)"
м,2107,0.6967592592592593,"(25.090175605125772, 23.068343616516373)","(0.3885512194375125, 0.4695392258833271)","(480.0404050142258, 1515.6738687616414)","(5.2494550322970234e-05, 0.00016574566920999305)"
н,1865,0.7590557590557591,"(26.74155495978552, 18.754423592493296)","(0.4151863703191213, 0.4672216734866657)","(126.75258472353, 1870.1798788175004)","(2.0996480899808826e-05, 0.000309794046334023)"
о,1773,0.7290296052631579,"(26.679075014100395, 18.000564015792442)","(0.4076043653031809, 0.45947470312952543)","(106.52149256456677, 2024.949238896794)","(1.8009850256680184e-05, 0.00034236313904261606)"
п,1865,0.7590557590557591,"(27.362466487935656, 18.621983914209114)","(0.425201072386059, 0.4637364187949767)","(113.15711922029197, 1881.6522795391331)","(1.8744401130505662e-05, 0.00031169444184194986)"
р,2143,0.7323991797676008,"(34.47410172655157, 18.919272048530097)","(0.44044870692831006, 0.4843046499602729)","(6.380162087809777, 3258.2095034697177)","(7.452175405046719e-07, 0.0003805663303231496)"
с,1740,0.7552083333333334,"(27.31494252873563, 17.517241379310345)","(0.41769750045612114, 0.4719211822660099)","(59.06010833663629, 2068.6813317479186)","(1.1125749816260875e-05, 0.00038969842072435895)"
