Letter,Weight,Normalized Weight,Mass Center,Normalized Mass Center,Inertia Moments,Normalized Inertia Moments
s,,0.8453333333333334,,"(0.4983350858745181, 0.4583106711628413)",,"(5.0576625371378405e-05, 0.0007972903419639075)"
n,,0.8603125,,"(0.5009594675413782, 0.46219373586585893)",,"(3.7496438160339474e-05, 0.0006836916612717978)"
o,,0.846875,,"(0.4989563531998956, 0.4673491251041543)",,"(3.6741323724677794e-05, 0.0006810823952752039)"
w,,0.8565217391304348,,"(0.4993026713838897, 0.48846587704455724)",,"(1.393921315778437e-06, 0.00027310462019691605)"
c,,0.8633333333333333,,"(0.49763269763269763, 0.4742910398082812)",,"(5.024747997859967e-05, 0.0007885904837435341)"
a,,0.8284375,,"(0.4987254666620944, 0.45577444908190456)",,"(3.6654780065627935e-05, 0.0006869475890844981)"
t,,0.7988235294117647,,"(0.5165647639874444, 0.4563236377025037)",,"(0.00045193536780901186, 0.0028464623790036047)"
a,,0.8284375,,"(0.4987254666620944, 0.45577444908190456)",,"(3.6654780065627935e-05, 0.0006869475890844981)"
n,,0.8603125,,"(0.5009594675413782, 0.46219373586585893)",,"(3.7496438160339474e-05, 0.0006836916612717978)"
d,,0.8344444444444444,,"(0.5065132012535475, 0.4672246528438273)",,"(2.0112252362384716e-05, 0.0005143715281533189)"
b,,0.8196969696969697,,"(0.5079482439926063, 0.47181146025878007)",,"(3.41582728951925e-05, 0.0006311062553338117)"
e,,0.822258064516129,,"(0.501424603033077, 0.46945207270825157)",,"(4.43342720894913e-05, 0.0007327750818094223)"
a,,0.8284375,,"(0.4987254666620944, 0.45577444908190456)",,"(3.6654780065627935e-05, 0.0006869475890844981)"
r,,0.8966666666666666,,"(0.4996479666554016, 0.47276547599806046)",,"(0.0001309608321270575, 0.0013178834271722491)"
